frame,time,planet,x,y,z
0,0.0,1,1.0,2.0,3.0
0,0.0,2,2.0,1.0,2.0
0,0.0,3,2.0,3.0,1.0
0,0.0,1,1.0,2.0,3.0
0,0.0,2,2.0,1.0,2.0
0,0.0,3,2.0,3.0,1.0
3,0.06006006006006006,1,1.1808912173736306,2.0600775905782562,2.8787821692315747
3,0.06006006006006006,2,2.1194023810963247,1.0617269122498347,1.9401721382817279
3,0.06006006006006006,3,2.0598252816056917,3.1195528157113976,0.8805342875314873
6,0.12012012012012012,1,1.3631869474773037,2.1201669003722103,2.755312294509243
6,0.12012012012012012,2,2.2372749480105565,1.1268302240373604,1.8808986024955654
6,0.12012012012012012,3,2.1192241594520524,3.2379723520997667,0.762385162388209
9,0.18018018018018017,1,1.5468594634983817,2.1802040171792028,2.629508077878486
9,0.18018018018018017,2,2.35347524078148,1.1954416336757328,1.8223175040768407
9,0.18018018018018017,3,2.1782626047345794,3.3552573178624945,0.6455614527280685
12,0.24024024024024024,1,1.731881107096922,2.2401466288749745,2.5012812140134684
12,0.24024024024024024,2,2.4678492718904224,1.2676653311367274,1.764589728746539
12,0.24024024024024024,3,2.2370103855194583,3.4714011910918288,0.530068400194627
15,0.3003003003003003,1,1.9182277388703661,2.2998878846865765,2.370546348064922
15,0.3003003003003003,2,2.580230327179777,1.3437361313236402,1.7078887966182301
15,0.3003003003003003,3,2.2955391661275977,3.5863969340019697,0.41590506798287413
18,0.36036036036036034,1,2.1058790882827947,2.359236837121146,2.237223466204605
18,0.36036036036036034,2,2.6904397355656027,1.4240560486887035,1.6523974012367768
18,0.36036036036036034,3,2.3539220172775903,3.7002378401040827,0.30306390079668283
21,0.42042042042042044,1,2.294818753664929,2.417918441965904,2.1012378956253075
21,0.42042042042042044,2,2.798286869037625,1.5091942972330865,1.5983074095783356
21,0.42042042042042044,3,2.412233416085713,3.812917534206296,0.19153072484880784
24,0.4804804804804805,1,2.485034202214131,2.475573558288158,1.962520304540846
